Latitude;Longitude;Type;StationID;StationName;MLLW;MLW;MSL;MHW;MHHW;NGVD;NAVD
63.7185;-171.6447;Ref;xTide_0048;Akeftapak, St. Lawrence Island, Alaska;0.0;-999999;-999999;-999999;-999999;-999999;-999999
54.2333;-165.533;Ref;xTide_0049;Akun Cove, Akun Island, Aleutian Islands, Alaska;0.0;-999999;-999999;-999999;-999999;-999999;-999999
54.1283;-165.808;Sub;xTide_0050;Akutan Harbor, Akutan Island, Aleutian Islands, Alaska;0.0;-999999;-999999;-999999;-999999;-999999;-999999
54.1333;-165.7773;Ref;xTide_0051;Akutan, Aleutian Islands, Alaska;0.0;-999999;-999999;-999999;-999999;-999999;-999999
48.3967;-122.587;Sub;xTide_0052;Ala Spit, Whidbey Island, Washington;0.0;-0.80913;-1.85424;-2.96475;-3.23632;-1.66700;-0.51343
30.2786;-87.6;Ref;xTide_0053;Alabama Point, Perdido Pass, Alabama;0.0;-999999;-999999;-999999;-999999;-999999;-999999
30.2667;-87.55;Sub;xTide_0054;Alabama Point, Perdido Pass, Alabama (sub);0.0;-0.01410;-0.18229;-0.35758;-0.37795;-0.04935;-0.08794
37.595;-122.145;Sub;xTide_0055;Alameda Creek, San Francisco Bay, California;0.0;-999999;-999999;-999999;-999999;-999999;-999999
37.7933;-122.315;Sub;xTide_0056;Alameda Naval Air Station, San Francisco Bay, California;0.0;-0.34699;-1.02798;-1.76298;-1.95198;-0.86585;-0.04185
37.7717;-122.2983;Ref;xTide_0057;Alameda, San Francisco Bay, California;0.0;-0.34500;-1.05103;-1.82205;-2.01107;-0.89387;-0.07005
42.65;-73.7467;Ref;xTide_0058;Albany, Hudson River, New York;0.0;-999999;-999999;-999999;-999999;-999999;-999999
55.59;-160.613;Sub;xTide_0059;Albatross Anchorage, Balboa Bay, Alaska;0.0;-999999;-999999;-999999;-999999;-999999;-999999
32.45;-80.7317;Sub;xTide_0060;Albergottie Creek, Rt. 21 bridge, Beaufort River, South Carolina;0.0;-999999;-999999;-999999;-999999;-999999;-999999
52.7167;-174.0667;Sub;xTide_0061;Alcan Harbor, Shemya Island, Aleutian Islands, Alaska;0.0;-999999;-999999;-999999;-999999;-999999;-999999
37.8267;-122.417;Sub;xTide_0062;Alcatraz Island, San Francisco Bay, California;0.0;-0.34383;-0.97048;-1.63167;-1.81790;-0.81394;0.00945
48.7578;-122.9803;Sub;xTide_0063;Alden Point, Patos Island, 2 miles S of, Washington Current;0.0;-0.79338;-1.55975;-2.38786;-2.60788;-1.44749;-0.26178
48.425;-122.853;Sub;xTide_0064;Aleck Bay, Lopez Island, Washington;0.0;-0.75000;-1.40114;-2.04454;-2.25339;-1.25820;-0.11411
38.805;-77.0383;Sub;xTide_0065;Alexandria, Potomac River, Virginia;0.0;-0.04355;-0.43998;-0.83417;-0.90087;-0.14714;-0.40266
56.8983;-154.247;Ref;xTide_0066;Alitak, Lazy Bay, Alaska;0.0;-999999;-999999;-999999;-999999;-999999;-999999
47.5755;-122.428;Sub;xTide_0067;Alki Point, 0.3 mile west of, Puget Sound, Washington Current;0.0;-0.86420;-2.04115;-3.22604;-3.49155;-1.81153;-0.74273
57.25;-135.4333;Sub;xTide_0068;Allan Pt., 1.5mile W of, Nakwasina Passage, Alaska Current;0.0;-999999;-999999;-999999;-999999;-999999;-999999
30.03;-85.465;Sub;xTide_0069;Allanton, East Bay, St. Andrew Bay, Florida;0.0;-0.03300;-0.23100;-0.43100;-0.46600;-0.04499;-0.19194
31.1833;-81.5167;Sub;xTide_0070;Allied Chemical Corp. docks, Turtle River, Georgia;0.0;-0.06910;-1.24700;-2.29460;-2.40540;-1.08464;-1.38880
30.17;-85.755;Sub;xTide_0071;Alligator Bayou, St. Andrew Bay, Florida;0.0;-0.01600;-0.21000;-0.39800;-0.41700;-0.01444;-0.15909
29.9033;-84.4133;Sub;xTide_0072;Alligator Point, St. James Island, Apalachee Bay, Florida;0.0;-0.18569;-0.45277;-0.77754;-0.85031;-0.27968;-0.46911
29.1667;-95.125;Sub;xTide_0073;Alligator Point, West Bay, Texas;0.0;-0.01403;-0.14003;-0.23809;-0.24912;0.04737;0.05033
24.85;-80.6183;Sub;xTide_0074;Alligator Reef, Hawk Channel, Florida;0.0;-0.06000;-0.35200;-0.63600;-0.67900;-0.15904;-0.61721
33.5317;-79.0533;Sub;xTide_0075;Allston Creek, Murrells Inlet, South Carolina;0.0;-0.05555;-0.72437;-1.36119;-1.47931;-0.49125;-0.81087
47.3833;-122.823;Sub;xTide_0076;Allyn, Case Inlet, Puget Sound, Washington;0.0;-0.92900;-2.49200;-4.05000;-4.33400;-2.28908;-1.22883
41.6217;-71.22;Sub;xTide_0077;Almy Point Bridge, south of, Sakonnet River (Depth 15ft), Rhode Island Current;0.0;-0.04886;-0.54500;-1.12585;-1.20820;-0.34629;-0.60354
40.945;-73.9183;Sub;xTide_0078;Alpine, Hudson River, New Jersey;0.0;-0.05799;-0.65759;-1.20088;-1.27804;-0.32793;-0.63568
55.2283;-131.133;Sub;xTide_0079;Alva Bay, Revillagigedo Island, Alaska;0.0;-999999;-999999;-999999;-999999;-999999;-999999
55.5;-163.1667;Sub;xTide_0080;Amak Island, 5 miles north of, Alaska Current;0.0;-999999;-999999;-999999;-999999;-999999;-999999
55.35;-163.0167;Sub;xTide_0081;Amak Island, 5 miles southeast of, Alaska Current;0.0;-999999;-999999;-999999;-999999;-999999;-999999
55.4133;-163.115;Sub;xTide_0082;Amak Island, Bristol Bay, Alaska;0.0;-999999;-999999;-999999;-999999;-999999;-999999
30.5867;-81.4633;Sub;xTide_0083;Amelia City, South Amelia River, Florida;0.0;-0.05097;-0.88100;-1.69299;-1.79802;-0.64588;-1.00276
42.395;-71.0767;Ref;xTide_0084;Amelia Earhart Dam, Mystic River, Boston Harbor, Massachusetts;0.0;-0.10205;-1.59780;-3.01570;-3.14970;-1.44697;-1.69088
54.85;-132.83;Sub;xTide_0085;American Bay, Kaigani Strait, Alaska;0.0;-999999;-999999;-999999;-999999;-999999;-999999
40.655;-73.4183;Sub;xTide_0086;Amityville, Great South Bay, New York;0.0;-0.02520;-0.31050;-0.60992;-0.67108;0.02226;-0.34401
32.9592;-79.918;Sub;xTide_0087;Amoco Pier, off, Cooper River, Charleston Harbor, South Carolina Current;0.0;-0.06268;-0.94158;-1.64886;-1.75080;-0.57223;-0.87287
40.7517;-74.0967;Sub;xTide_0088;Amtrak RR. swing bridge, Hackensack River, New Jersey;0.0;-0.07108;-0.92638;-1.67906;-1.76813;-0.63970;-0.98186
52.5167;-171.2333;Sub;xTide_0089;Amukta Island, north side, Aleutian Islands, Alaska;0.0;-999999;-999999;-999999;-999999;-999999;-999999
48.5183;-122.62;Sub;xTide_0090;Anacortes, Guemes Channel, Washington;0.0;-0.76419;-1.49619;-2.26891;-2.48952;-1.30822;-0.15756
59.772;-151.867;Ref;xTide_0091;Anchor Point, Cook Inlet, Alaska;0.0;-999999;-999999;-999999;-999999;-999999;-999999
56.6383;-132.927;Ref;xTide_0092;Anchor Point, Wrangell Narrows, Alaska;0.0;-999999;-999999;-999999;-999999;-999999;-999999
56.6395;-132.9312;Sub;xTide_0093;Anchor Point, Wrangell Narrows, Alaska Current;0.0;-999999;-999999;-999999;-999999;-999999;-999999
61.2383;-149.89;Ref;xTide_0094;Anchorage, Knik Arm, Cook Inlet, Alaska;0.0;-999999;-999999;-999999;-999999;-999999;-999999
28.165;-82.8433;Ref;xTide_0095;Anclote Lighthouse, Anclote Key, Florida;0.0;-0.11600;-0.52000;-0.92400;-1.01000;-0.35202;-0.61170
28.1717;-82.785;Sub;xTide_0096;Anclote, Anclote River, Florida;0.0;-0.16753;-0.50542;-0.82603;-0.93598;-0.34213;-0.60383
53.6783;-166.832;Sub;xTide_0097;Anderson Bay, Unalaska Island, Alaska;0.0;-999999;-999999;-999999;-999999;-999999;-999999
58.5183;-152.415;Sub;xTide_0098;Andreon Bay, Shuyak Island, Alaska;0.0;-999999;-999999;-999999;-999999;-999999;-999999
26.1183;-80.145;Sub;xTide_0099;Andrews Avenue bridge, New River, Fort Lauderdale, Florida;0.0;-0.04500;-0.36400;-0.68100;-0.71100;-0.21531;-0.69629
43.95;-69.8883;Sub;xTide_0100;Androscoggin River entrance, Kennebec River, Maine;0.0;-0.09439;-1.57482;-3.12691;-3.25981;-1.23814;-1.44391
37.86;-122.443;Sub;xTide_0101;Angel Island (west side), San Francisco Bay, California;0.0;-0.34670;-0.95590;-1.59950;-1.78470;-0.79238;0.02272
37.8633;-122.42;Sub;xTide_0102;Angel Island, East Garrison, San Francisco Bay, California;0.0;-0.34601;-0.97203;-1.61605;-1.79902;-0.82910;-0.01357
55.6833;-133.587;Sub;xTide_0103;Anguilla Island, Gulf of Esquibel, Alaska;0.0;-999999;-999999;-999999;-999999;-999999;-999999
27.355;-80.2733;Sub;xTide_0104;Ankona, Indian River, Florida;0.0;-0.03656;-0.23183;-0.42239;-0.46106;-0.06270;-0.51853
27.4967;-82.7133;Sub;xTide_0105;Anna Maria Key, Bradenton Beach, Florida;0.0;-0.11728;-0.35478;-0.58048;-0.66418;-0.18362;-0.48472
27.5333;-82.73;Sub;xTide_0106;Anna Maria Key, city pier, Florida;0.0;-0.11200;-0.35500;-0.58200;-0.66000;-0.19142;-0.49395
38.9833;-76.4816;Ref;xTide_0107;Annapolis (US Naval Academy), Severn River, Maryland;0.0;-0.06512;-0.21555;-0.35865;-0.43134;0.01489;-0.23190
24.7583;-81.39;Sub;xTide_0108;Annette Key, north end, Big Spanish Channel, Florida;0.0;-0.09199;-0.34593;-0.66387;-0.73388;-0.18231;-0.60565
42.655;-70.6767;Sub;xTide_0109;Annisquam, Lobster Cove, Massachusetts;0.0;-999999;-999999;-999999;-999999;-999999;-999999
37.1083;-122.338;Sub;xTide_0110;Ano Nuevo Island, California;0.0;-0.31790;-0.87393;-1.44646;-1.65516;-0.73852;0.04878
41.6383;-71.2117;Sub;xTide_0111;Anthony Point, Sakonnet River, Rhode Island;0.0;-0.05378;-0.58108;-1.19832;-1.28035;-0.37159;-0.63135
38.02;-121.815;Ref;xTide_0112;Antioch, San Joaquin River, California;0.0;-0.17800;-0.61900;-1.03800;-1.18100;-0.10582;0.63390
29.7633;-85.0333;Ref;xTide_0113;Apalachicola River (A&N RR bridge), Apalachicola Bay, Florida;0.0;-0.09444;-0.23227;-0.38739;-0.41234;0.04305;-0.12845
29.7633;-85.0333;Sub;xTide_0114;Apalachicola River (A&N RR bridge), Apalachicola Bay, Florida (sub);0.0;-0.09444;-0.23227;-0.38739;-0.41234;0.04305;-0.12845
29.7267;-84.9817;Ref;xTide_0115;Apalachicola, Apalachicola Bay, Florida;0.0;-0.12403;-0.28033;-0.46477;-0.49757;-0.06180;-0.23552
63.1167;-168.9333;Sub;xTide_0116;Apavawook Cape, 1 mile south of, St. Lawrence Island, Alaska Current;0.0;-999999;-999999;-999999;-999999;-999999;-999999
37.9617;-75.8217;Sub;xTide_0117;Ape Hole Creek, Pocomoke Sound, Chesapeake Bay, Maryland;0.0;-0.03220;-0.35619;-0.69387;-0.74067;-0.17311;-0.42147
60.1367;-162.158;Sub;xTide_0118;Apokak Creek entrance, Alaska;0.0;-999999;-999999;-999999;-999999;-999999;-999999
60.1333;-162.1667;Sub;xTide_0119;Apokak Creek entrance, Kuskokwim Bay, Alaska Current;0.0;-999999;-999999;-999999;-999999;-999999;-999999
63.05;-163.3833;Sub;xTide_0120;Apoon Mouth, Yukon River, Norton Sound, Alaska;0.0;-999999;-999999;-999999;-999999;-999999;-999999
52.8617;-169.862;Sub;xTide_0121;Applegate Cove, Chuginadak Island, Aleutian Islands, Alaska;0.0;-999999;-999999;-999999;-999999;-999999;-999999
60.6233;-148.165;Sub;xTide_0122;Applegate Island, Prince William Sound, Alaska;0.0;-999999;-999999;-999999;-999999;-999999;-999999
34.6717;-76.67;Sub;xTide_0123;Approach, Beaufort Inlet, North Carolina Current;0.0;-0.04420;-0.60922;-1.16568;-1.27014;-0.41380;-0.72992
13.4387;-144.6539;Ref;xTide_0124;Apra Harbor, Guam;0.0;-999999;-999999;-999999;-999999;-999999;-999999
38.4183;-77.3533;Sub;xTide_0125;Aquia Creek, Potomac River, Virginia;0.0;-0.02992;-0.22965;-0.42777;-0.45790;0.04594;-0.20559
27.8338;-97.0442;Sub;xTide_0126;Aransas Pass (Depth 15ft), Texas Current;0.0;-0.06730;-0.26905;-0.43286;-0.46254;-0.03622;-0.14463
27.8338;-97.0442;Sub;xTide_0127;Aransas Pass (Depth 50ft), Texas Current;0.0;-0.06730;-0.26905;-0.43286;-0.46254;-0.03622;-0.14463
27.8338;-97.0442;Ref;xTide_0128;Aransas Pass, Texas Current (35d);0.0;-0.06730;-0.26905;-0.43286;-0.46254;-0.03622;-0.14463
28.2283;-96.795;Ref;xTide_0129;Aransas Wildlife Refuge (TCOON), Texas;0.0;-0.00294;-0.06064;-0.11733;-0.12526;0.26302;0.14093
47.1967;-122.938;Sub;xTide_0130;Arcadia, Totten Inlet, Puget Sound, Washington;0.0;-0.91400;-2.49900;-4.08400;-4.38900;-2.26534;-1.22356
40.85;-124.117;Sub;xTide_0131;Arcata Wharf, Humboldt Bay, California;0.0;-0.40430;-1.26870;-2.08320;-2.30230;-1.30174;-0.28345
18.4805;-66.7024;Ref;xTide_0132;Arecibo, Puerto Rico;0.0;-0.05866;-0.24868;-0.43288;-0.52962;-999999;-0.29113
38.9133;-123.708;Ref;xTide_0133;Arena Cove, California;0.0;-0.35200;-0.95703;-1.58306;-1.78706;-0.93024;-0.03873
28.4333;-82.6683;Sub;xTide_0134;Aripeka, Hammock Creek, Florida;0.0;-0.11700;-0.45600;-0.85100;-0.96700;-0.26959;-0.52420
47.28;-122.652;Sub;xTide_0135;Arletta, Hale Passage, Puget Sound, Washington;0.0;-0.89800;-2.31600;-3.78000;-4.05500;-2.25221;-1.20005
48.535;-122.797;Ref;xTide_0136;Armitage Island, Thatcher Pass, Washington;0.0;-0.70808;-1.42189;-2.20399;-2.39095;-1.27572;-0.11526
32.91;-79.9517;Ref;xTide_0137;Army Depot, Cooper River, South Carolina;0.0;-0.05870;-0.96135;-1.70647;-1.80910;-0.66397;-0.97489
7.1333;-171.7;Sub;xTide_0138;Arno Atoll, Marshall Islands;0.0;-999999;-999999;-999999;-999999;-999999;-999999
39.4638;-75.9742;Sub;xTide_0139;Arnold Point, 0.4 mile west of, Elk River, Maryland Current;0.0;-0.06713;-0.35147;-0.63898;-0.74463;-0.10827;-0.34169
17.9667;-66.0667;Sub;xTide_0140;Arroyo, Puerto Rico;0.0;-999999;-999999;-999999;-999999;-999999;-999999
39.46;-75.5317;Sub;xTide_0141;Artificial Island, Salem Nuclear Plant, Delaware River, New Jersey;0.0;-0.05769;-0.96032;-1.85915;-1.98744;-0.73124;-0.98330
33.4833;-79.1783;Sub;xTide_0142;Arundel Plantation, Great Pee Dee River, South Carolina;0.0;-0.04517;-0.57837;-1.04437;-1.10495;-0.01624;-0.32338
32.52;-80.4883;Sub;xTide_0143;Ashe Island Cut, St. Helena Sound (Depth 6ft), South Carolina Current;0.0;-999999;-999999;-999999;-999999;-999999;-999999
32.51;-80.505;Sub;xTide_0144;Ashe Island Cut, SW of, Coosaw River (Depth 15ft), South Carolina Current;0.0;-0.06430;-1.10180;-2.00930;-2.12030;-0.85396;-1.13449
32.525;-80.4533;Sub;xTide_0145;Ashepoo Coosaw Cutoff (Depth 6ft), South Carolina Current;0.0;-999999;-999999;-999999;-999999;-999999;-999999
32.5067;-80.41;Sub;xTide_0146;Ashepoo River, off Jefford Creek entrance, South Carolina Current;0.0;-0.06375;-1.02220;-1.90230;-2.01106;-0.78300;-1.06743
32.525;-80.4517;Sub;xTide_0147;Ashepoo-Coosaw Cutoff, ICWW, Ashepoo River, South Carolina;0.0;-999999;-999999;-999999;-999999;-999999;-999999
32.7433;-80.5567;Sub;xTide_0148;Ashepoo, Ashepoo River, South Carolina;0.0;-0.08300;-0.47893;-0.74184;-0.76687;-0.01440;-0.29929
37.865;-75.3683;Sub;xTide_0149;Assateague Beach, Toms Cove, Virginia;0.0;-0.05921;-0.60486;-1.15013;-1.24223;-0.41080;-0.66022
40.0733;-74.8483;Sub;xTide_0150;Assiscunk Creek, Route 130 bridge, New Jersey;0.0;-999999;-999999;-999999;-999999;-999999;-999999
46.1867;-123.86;Sub;xTide_0151;Astoria (Port Docks), Oregon;0.0;-0.37407;-1.38457;-2.41217;-2.62397;-1.06458;-0.01015
46.1717;-123.842;Sub;xTide_0152;Astoria (Youngs Bay), Oregon;0.0;-0.38000;-1.42494;-2.46791;-2.68091;-1.11971;-0.04914
52.0067;-175.32;Sub;xTide_0153;Atka Pass, east end, Atka Island, Alaska;0.0;-999999;-999999;-999999;-999999;-999999;-999999
52.2317;-174.173;Ref;xTide_0154;Atka, Nazan Bay, Atka Island, Alaska;0.0;-999999;-999999;-999999;-999999;-999999;-999999
34.7183;-76.7367;Sub;xTide_0155;Atlantic Beach Bridge, North Carolina;0.0;-0.04108;-0.47390;-0.88579;-0.96712;-0.26426;-0.57308
40.595;-73.7433;Ref;xTide_0156;Atlantic Beach, East Rockaway Inlet, Long Island, New York;0.0;-0.05378;-0.73972;-1.42175;-1.52104;-0.46228;-0.79850
30.335;-81.395;Sub;xTide_0157;Atlantic Beach, Florida;0.0;-0.05140;-0.80520;-1.60900;-1.72220;-0.64631;-0.98161
39.355;-74.4183;Ref;xTide_0158;Atlantic City, New Jersey;0.0;-0.05124;-0.67472;-1.27559;-1.40104;-0.38796;-0.79334
43.09;-70.7633;Sub;xTide_0159;Atlantic Heights, Piscataqua River, New Hampshire;0.0;-0.09036;-1.26171;-2.37312;-2.49452;-1.08339;-1.31617
40.4183;-74.035;Sub;xTide_0160;Atlantic Highlands, Sandy Hook Bay, New Jersey;0.0;-0.06098;-0.79198;-1.49701;-1.60000;-0.53215;-0.85743
52.84;-173.195;Ref;xTide_0161;Attu, Massacre Bay, Alaska;0.0;-999999;-999999;-999999;-999999;-999999;-999999
39.715;-75.36;Sub;xTide_0162;Auburn, Oldmans Creek, Delaware River, New Jersey;0.0;-999999;-999999;-999999;-999999;-999999;-999999
58.3817;-134.645;Sub;xTide_0163;Auke Bay, Alaska;0.0;-999999;-999999;-999999;-999999;-999999;-999999
58.305;-134.4408;Sub;xTide_0164;Aurora Basin, SW of (Depth 15ft), Gastineau Channel, Stephens Passage, Alaska Current;0.0;-999999;-999999;-999999;-999999;-999999;-999999
38.71;-76.335;Sub;xTide_0165;Avalon, Dogwood Harbor, Chesapeake Bay, Maryland;0.0;-0.06310;-0.26478;-0.46927;-0.53666;-0.09083;-0.32902
33.345;-118.325;Sub;xTide_0166;Avalon, Santa Catalina Island, California;0.0;-0.27400;-0.82300;-1.39870;-1.61340;-0.75744;-0.03567
35.3501;-75.512;Ref;xTide_0167;Avon Seafood dock, Peter's Ditch, Avon, North Carolina;0.0;-0.02502;-0.09002;-0.15704;-0.18504;0.21768;-0.10436
47.5083;-123.052;Sub;xTide_0168;Ayock Point, Washington;0.0;-0.92700;-2.05100;-3.17600;-3.46600;-1.87409;-0.80085
40.685;-73.315;Sub;xTide_0169;Babylon, Great South Bay, New York;0.0;-0.02600;-0.20090;-0.35610;-0.40790;0.14594;-0.22112
43.6767;-70.255;Sub;xTide_0170;Back Cove, Casco Bay, Maine;0.0;-0.10490;-1.50160;-2.87680;-3.00900;-1.37048;-1.58640
39.305;-75.2783;Sub;xTide_0171;Back Creek entrance, Nantuxent Cove, Delaware Bay, New Jersey;0.0;-999999;-999999;-999999;-999999;-999999;-999999
