SiteNumber;SiteName;Latitude;Longitude;SiteNumber2
01049505;Kennebec River at Gardiner, Maine;44.23027778;-69.7694444;USGS01049505
01051620;Umbagog Lake at Birch Camp, at Magalloway Plt, ME;44.80555556;-71.0108333;USGS01051620
01052500;Diamond River near Wentworth Location, NH;44.8775;-71.0575;USGS01052500
01053500;Androscoggin River at Errol, NH;44.7825;-71.1286111;USGS01053500
01053600;Androscoggin River below Bog Brook at Cambridge NH;44.6661111;-71.18138889;USGS01053600
01054000;Androscoggin River near Gorham, NH;44.4358333;-71.19027778;USGS01054000
01054114;Peabody River at Gorham, New Hampshire;44.38131944;-71.1706556;USGS01054114
01054200;Wild River at Gilead, Maine;44.39055556;-70.9797222;USGS01054200
01054300;Ellis River at South Andover, Maine;44.5933333;-70.7330556;USGS01054300
01054500;Androscoggin River at Rumford, Maine;44.5519444;-70.5441667;USGS01054500
01055000;Swift River near Roxbury, Maine;44.64277778;-70.58888889;USGS01055000
01055220;Dead River at Leeds, Maine;44.31805556;-70.1222222;USGS01055220
01055500;Nezinscot River at Turner Center, Maine;44.26944444;-70.2297222;USGS01055500
01057000;Little Androscoggin River near South Paris, Maine;44.30388889;-70.5397222;USGS01057000
01059000;Androscoggin River near Auburn, Maine;44.0722222;-70.2080556;USGS01059000
01063310;Stony Brook at East Sebago, Maine;43.85555556;-70.6397222;USGS01063310
01063995;Sebago Lake near North Windham, Maine;43.77777778;-70.5061111;USGS01063995
01064118;Presumpscot River at Westbrook, Maine;43.68694444;-70.3472222;USGS01064118
010642505;SACO RIVER AT RIVER STREET, AT BARTLETT, NH;44.0836111;-71.285;USGS010642505
01064500;Saco River near Conway, NH;43.9908333;-71.0905556;USGS01064500
01064801;BEARCAMP RIVER AT SOUTH TAMWORTH, NH;43.83007396;-71.2878488;USGS01064801
01066000;Saco River at Cornish, Maine;43.80805556;-70.7816667;USGS01066000
01067950;Kennebunk River near Kennebunk, Maine;43.4322222;-70.5533333;USGS01067950
01068910;Mousam River at Route 4 near Sanford, Maine;43.4183333;-70.7380556;USGS01068910
01069500;Mousam River near West Kennebunk, Maine;43.4183333;-70.6583333;USGS01069500
01069700;Branch Brook near Kennebunk, Maine;43.37916667;-70.5833333;USGS01069700
01072800;COCHECO RIVER NEAR ROCHESTER, NH.;43.26841527;-70.9736739;USGS01072800
01072870;ISINGLASS R AT ROCHESTER NECK RD, NR DOVER, NH;43.23480487;-70.9564507;USGS01072870
01073000;OYSTER RIVER NEAR DURHAM, NH;43.1486955;-70.9650603;USGS01073000
01073319;LAMPREY RIVER AT LANGFORD ROAD, AT RAYMOND, NH;43.04138889;-71.2016667;USGS01073319
01073500;LAMPREY RIVER NEAR NEWMARKET, NH;43.10258558;-70.952559;USGS01073500
010735562;EXETER RIVER AT ODELL ROAD, NEAR SANDOWN, NH;42.94897557;-71.16478279;USGS010735562
01073587;EXETER RIVER AT HAIGH ROAD, NEAR BRENTWOOD, NH;42.9845316;-71.038392;USGS01073587
01073785;WINNICUT RIVER AT GREENLAND, NR PORTSMOUTH, NH;43.0358333;-70.8475;USGS01073785
01074520;EAST BRANCH PEMIGEWASSET RIVER AT LINCOLN, NH;44.0475669;-71.6598029;USGS01074520
01075000;PEMIGEWASSET RIVER AT WOODSTOCK, NH;43.9761792;-71.6795244;USGS01075000
01076000;BAKER RIVER NEAR RUMNEY, NH;43.79562647;-71.8453594;USGS01076000
01076500;PEMIGEWASSET RIVER AT PLYMOUTH, NH;43.7592388;-71.6856337;USGS01076500
01077400;COCKERMOUTH RIVER BELOW HARDY BROOK, AT GROTON, NH;43.70388889;-71.8333333;USGS01077400
01078000;SMITH RIVER NEAR BRISTOL, NH;43.56646307;-71.747857;USGS01078000
01081000;WINNIPESAUKEE RIVER AT TILTON, NH;43.44174376;-71.5875752;USGS01081000
01081500;MERRIMACK RIVER AT FRANKLIN JUNCTION, NH;43.42285456;-71.6528543;USGS01081500
01082000;CONTOOCOOK RIVER AT PETERBOROUGH, NH;42.8625837;-71.95924609;USGS01082000
01083000;NUBANUSIT BK BLW MACDOWELL DAM NR PETERBOROUGH NH;42.8928607;-71.9867469;USGS01083000
01085000;CONTOOCOOK RIVER NEAR HENNIKER, NH;43.1520237;-71.85730149;USGS01085000
01085500;CONTOOCOOK R BL HOPKINTON DAM AT W HOPKINTON, NH;43.1928569;-71.7472995;USGS01085500
01086000;WARNER RIVER AT DAVISVILLE, NH;43.25091159;-71.7322996;USGS01086000
01087000;BLACKWATER RIVER NEAR WEBSTER, NH;43.2970225;-71.6945212;USGS01087000
01087850;CONTOOCOOK RIVER AT RIVER HILL, NEAR PENACOOK, NH;43.24980178;-71.61951889;USGS01087850
01088400;MERRIMACK RIVER AT CONCORD, NH;43.20896997;-71.5303494;USGS01088400
01089100;SOUCOOK RIVER, AT PEMBROKE ROAD, NEAR CONCORD, NH;43.21369248;-71.4803481;USGS01089100
01089500;SUNCOOK RIVER AT NORTH CHICHESTER, NH;43.25674759;-71.36951248;USGS01089500
01089925;SUNCOOK RIVER AT NH 28, NEAR SUNCOOK, NH;43.15980438;-71.4059011;USGS01089925
01090800;PISCATAQUOG RIVER BL EVERETT DAM, NR E WEARE, NH;43.0914705;-71.6595182;USGS01090800
01091000;SOUTH BRANCH PISCATAQUOG RIVER NEAR GOFFSTOWN, NH;43.01480519;-71.64146129;USGS01091000
01091500;PISCATAQUOG RIVER NEAR GOFFSTOWN, NH;43.01675;-71.5506252;USGS01091500
01092000;MERRIMACK R NR GOFFS FALLS, BELOW MANCHESTER, NH;42.9481405;-71.4634002;USGS01092000
01093852;SOUHEGAN RIVER (SITE WLR-1) NEAR MILFORD, NH;42.8425858;-71.7067399;USGS01093852
01094000;SOUHEGAN RIVER AT MERRIMACK, NH;42.8575865;-71.5061785;USGS01094000
01094400;NORTH NASHUA RIVER AT FITCHBURG, MA;42.57620079;-71.7881285;USGS01094400
01094500;NORTH NASHUA RIVER NEAR LEOMINSTER, MA;42.49506389;-71.7219333;USGS01094500
01095220;STILLWATER RIVER NEAR STERLING, MA;42.41092507;-71.7911829;USGS01095220
01095375;QUINAPOXET RIVER AT CANADA MILLS NEAR HOLDEN, MA;42.37286967;-71.8281279;USGS01095375
01095434;GATES BROOK NEAR WEST BOYLSTON, MA;42.36453675;-71.775349;USGS01095434
01096000;SQUANNACOOK RIVER NEAR WEST GROTON, MA;42.63425619;-71.6578479;USGS01096000
01096500;NASHUA RIVER AT EAST PEPPERELL, MA;42.66758945;-71.57506809;USGS01096500
010965852;BEAVER BROOK AT NORTH PELHAM, NH;42.78286636;-71.35367448;USGS010965852
01097000;ASSABET RIVER AT MAYNARD, MA;42.432038;-71.4497848;USGS01097000
01097300;NASHOBA BROOK NEAR ACTON, MA;42.51259289;-71.40422829;USGS01097300
01098530;SUDBURY RIVER AT SAXONVILLE, MA;42.3253732;-71.3975605;USGS01098530
01099500;CONCORD R BELOW R MEADOW BROOK, AT LOWELL, MA;42.6367581;-71.3020047;USGS01099500
01100000;MERRIMACK RIVER BL CONCORD RIVER AT LOWELL, MA;42.64592464;-71.2983937;USGS01100000
01100500;MERRIMACK RIVER AT LAWRENCE, MA;42.7048333;-71.15313889;USGS01100500
01100505;SPICKET RIVER AT NORTH SALEM, NH;42.8492547;-71.2150607;USGS01100505
01100561;SPICKET RIVER NEAR METHUEN, MA;42.7431456;-71.208393;USGS01100561
01100568;SHAWSHEEN RIVER AT HANSCOM FIELD NEAR BEDFORD, MA;42.46703909;-71.2722795;USGS01100568
01100600;SHAWSHEEN RIVER NEAR WILMINGTON, MA;42.5681488;-71.2147792;USGS01100600
01100627;SHAWSHEEN RIVER AT BALMORAL STREET AT ANDOVER, MA;42.6714806;-71.1492239;USGS01100627
01100693;MERRIMACK R 0.3 MILES U.S.RT 125 AT HAVERHILL,MA;42.77277778;-71.0830556;USGS01100693
01100870;MERRIMACK RIVER AT NEWBURYPORT, MA;42.81564687;-70.87283057;USGS01100870
01101000;PARKER RIVER AT BYFIELD, MA;42.75286948;-70.9456096;USGS01101000
01101500;IPSWICH RIVER AT SOUTH MIDDLETON, MA;42.56953869;-71.0269974;USGS01101500
01102000;IPSWICH RIVER NEAR IPSWICH, MA;42.6598157;-70.8936622;USGS01102000
01102345;SAUGUS RIVER AT SAUGUS IRONWORKS AT SAUGUS, MA;42.4695404;-71.0069954;USGS01102345
01103025;ALEWIFE BROOK NEAR ARLINGTON, MA;42.40704077;-71.1339422;USGS01103025
01103050;MYSTIC R AT AMELIA EARHART DAM NR SOMERVILLE, MA;42.39565236;-71.07505177;USGS01103050
01103280;CHARLES RIVER AT MEDWAY, MA;42.1398197;-71.3895032;USGS01103280
01103455;TROUT BROOK AT DOVER, MA;42.25398645;-71.29339017;USGS01103455
01103500;CHARLES RIVER AT DOVER, MA;42.256209;-71.2600558;USGS01103500
01104000;MOTHER BROOK AT DEDHAM, MA;42.2550985;-71.1642196;USGS01104000
01104200;CHARLES RIVER AT WELLESLEY, MA;42.3164861;-71.227833;USGS01104200
01104370;STONY BROOK AT VILES STREET, NEAR WESTON, MA;42.38555556;-71.2894444;USGS01104370
01104405;HOBBS BROOK AT MILL ST NR LINCOLN, MA;42.436484;-71.2695014;USGS01104405
01104415;CAMBRIDGE RES., UNNAMED TRIB 2, NR LEXINGTON, MA;42.43592855;-71.2600567;USGS01104415
01104420;CAMBRIDGE RES., UNNAMED TRIB 3, NR LEXINGTON, MA;42.4198177;-71.2575565;USGS01104420
01104430;HOBBS BK BELOW CAMBRIDGE RES NR KENDALL GREEN, MA;42.3981512;-71.2733903;USGS01104430
01104453;STONY BROOK UNNAMED TRIB 2 NR WESTON STATION;42.37138889;-71.27527778;USGS01104453
01104455;STONY BROOK, UNNAMED TRIBUTARY 1, NEAR WALTHAM, MA;42.37259606;-71.27033448;USGS01104455
01104460;STONY BROOK AT RT 20 AT WALTHAM, MA;42.368985;-71.2706123;USGS01104460
01104475;STONY BROOK RES., UNNAMED TRIB 1, NEAR WESTON, MA;42.3545408;-71.2681121;USGS01104475
01104480;STONY BROOK RESERVOIR AT DAM NEAR WALTHAM, MA;42.3556519;-71.2650565;USGS01104480
01104500;CHARLES RIVER AT WALTHAM, MA;42.37231857;-71.2336668;USGS01104500
01104501;BEAVER BROOK, LINDEN STREET, AT WALTHAM, MA;42.3786972;-71.2223722;USGS01104501
01104683;MUDDY RIVER AT BROOKLINE, MA;42.3373197;-71.11116328;USGS01104683
01104705;CHARLES RIVER AT FIRST ST AT CAMBRIDGE, MA;42.3622222;-71.0786111;USGS01104705
01104715;CHARLES RIVER, NEW CHARLES RIVER DAM AT BOSTON, MA;42.36888889;-71.0616667;USGS01104715
01105000;NEPONSET RIVER AT NORWOOD, MA;42.1775987;-71.2008863;USGS01105000
01105500;EAST BRANCH NEPONSET RIVER AT CANTON, MA;42.15454356;-71.1458842;USGS01105500
01105554;NEPONSET RIVER AT GREENLODGE ST NEAR CANTON, MA;42.2092655;-71.1458851;USGS01105554
011055566;NEPONSET RIVER AT MILTON VILLAGE, MA;42.2709321;-71.06838369;USGS011055566
01105583;MONATIQUOT RIVER AT EAST BRAINTREE, MA;42.22093308;-70.9781026;USGS01105583
01105584;TOWN BROOK AT DIVERSION TUNNEL AT QUINCY, MA;42.24444444;-71.0044444;USGS01105584
01105585;TOWN BROOK AT QUINCY, MA;42.24787726;-70.9972703;USGS01105585
01105600;OLD SWAMP RIVER NEAR SOUTH WEYMOUTH, MA;42.1903779;-70.9447679;USGS01105600
01105606;WHITMANS POND, WHITMANS POND DAM AT E. WEYMOUTH,MA;42.2108333;-70.9294444;USGS01105606
01105607;WHITMANS POND FLOOD BY-PASS AT EAST WEYMOUTH, MA;42.21277778;-70.9275;USGS01105607
01105608;WHITMANS POND FISH LADDER AT EAST WEYMOUTH, MA;42.21305556;-70.92638889;USGS01105608
01105638;WEIR RIVER AT LEAVITT STREET AT HINGHAM, MA;42.2348226;-70.8719892;USGS01105638
01105730;INDIAN HEAD RIVER AT HANOVER, MA;42.1006571;-70.8225415;USGS01105730
01105870;JONES RIVER AT KINGSTON, MA;41.9909362;-70.7336491;USGS01105870
01105876;EEL RIVER AT RT 3A NEAR PLYMOUTH, MA;41.94177039;-70.6225338;USGS01105876
011058798;HERRING R AT CHEQUESSETT NECK RD AT WELLFLEET, MA;41.9311111;-70.0645556;USGS011058798
01105880;HERRING RIVER AT NORTH HARWICH, MA;41.70011074;-70.1069625;USGS01105880
011058837;QUASHNET RIVER AT WAQUOIT VILLAGE, MA;41.59233175;-70.50780579;USGS011058837
01105917;MATTAPOISETT RIVER NEAR MATTAPOISETT, MA;41.66260446;-70.8383696;USGS01105917
01105933;PASKAMANSET RIVER NEAR SOUTH DARTMOUTH, MA;41.58538185;-70.9903171;USGS01105933
01108000;TAUNTON RIVER NEAR BRIDGEWATER, MA;41.9339903;-70.9564307;USGS01108000
01108410;MILL RIVER AT SPRING STREET AT TAUNTON, MA;41.8998232;-71.0894897;USGS01108410
01109000;WADING RIVER NEAR NORTON, MA;41.94760015;-71.1767155;USGS01109000
01109060;THREEMILE RIVER AT NORTH DIGHTON, MA;41.8662122;-71.12282369;USGS01109060
01109070;SEGREGANSET RIVER NEAR DIGHTON, MA;41.840379;-71.142824;USGS01109070
01109403;TEN MILE R., PAWTUCKET AVE. AT E. PROVIDENCE, RI;41.83093376;-71.3511649;USGS01109403
01109730;BLACKSTONE RIVER, W. MAIN ST., AT MILLBURY, MA;42.1889835;-71.7650702;USGS01109730
01110000;QUINSIGAMOND RIVER AT NORTH GRAFTON, MA;42.230372;-71.7109023;USGS01110000
01110500;BLACKSTONE RIVER AT NORTHBRIDGE, MA;42.15370688;-71.65201138;USGS01110500
01111200;WEST RIVER BELOW WEST HILL DAM, NR UXBRIDGE, MA;42.1048189;-71.6072875;USGS01111200
01111212;BLACKSTONE RIVER, RT 122 BRIDGE NEAR UXBRIDGE, MA;42.05481959;-71.6164542;USGS01111212
01111230;BLACKSTONE RIVER AT MILLVILLE, MA;42.0228757;-71.5722859;USGS01111230
01111300;NIPMUC RIVER NEAR HARRISVILLE, RI;41.9812093;-71.68590049;USGS01111300
01111500;BRANCH RIVER AT FORESTDALE, RI;41.99648716;-71.5625632;USGS01111500
01112500;BLACKSTONE RIVER AT WOONSOCKET, RI;42.00620936;-71.5031168;USGS01112500
01113895;BLACKSTONE R AT ROOSEVELT ST AT PAWTUCKET RI;41.88871088;-71.38144468;USGS01113895
01114000;MOSHASSUCK RIVER AT PROVIDENCE, RI;41.833989;-71.41061208;USGS01114000
01114500;WOONASQUATUCKET RIVER AT CENTERDALE, RI;41.8589884;-71.4872823;USGS01114500
01115098;PEEPTOAD BROOK AT ELMDALE RD NR NORTH SCITUATE, RI;41.8525992;-71.6061754;USGS01115098
01115110;HUNTINGHOUSE BK AT ELMDALE RD AT N SCITUATE, RI;41.84676589;-71.6117311;USGS01115110
01115114;RUSH BROOK NEAR ELMDALE RD NEAR NORTH SCITUATE, RI;41.83759929;-71.6120089;USGS01115114
01115120;UNNAMED TRIB TO SCITUATE RES NR NORTH SCITUATE, RI;41.8314882;-71.6089532;USGS01115120
01115170;MOSWANSICUT STREAM NR NORTH SCITUATE, RI;41.84093269;-71.584508;USGS01115170
01115183;QUONAPAUG BK AT RT 116 NR NORTH SCITUATE, RI;41.79759966;-71.5847857;USGS01115183
01115184;SPRUCE BROOK NR NORTH SCITUATE, RI;41.7887107;-71.6200647;USGS01115184
01115187;PONAGANSET RIVER AT SOUTH FOSTER, RI;41.8187102;-71.7050677;USGS01115187
01115190;DOLLY COLE BK AT OLD DANIELSON PK AT S FOSTER, RI;41.8223213;-71.70034528;USGS01115190
01115265;HEMLOCK BROOK AT KING ROAD NR FOSTER, RI;41.7906548;-71.6986785;USGS01115265
01115275;BEAR TREE BROOK NR CLAYVILLE, RI;41.7825994;-71.67478879;USGS01115275
01115276;WESTCONNAUG STREAM AT PLAINFIELD PIKE, RI;41.7853772;-71.6672885;USGS01115276
01115280;CORK BK AT ROCKLAND SCITUATE RD NR CLAYVILLE, RI;41.80398827;-71.6497879;USGS01115280
01115297;WILBUR HOLLOW BK AT OLD PLAINFIELD PK NR CLAYVILLE;41.7648219;-71.6356207;USGS01115297
01115630;NOOSENECK RIVER AT NOOSENECK, RI;41.6267667;-71.6325646;USGS01115630
01116000;SOUTH BRANCH PAWTUXET RIVER AT WASHINGTON, RI;41.69010026;-71.5658958;USGS01116000
01116500;PAWTUXET RIVER AT CRANSTON, RI;41.75093399;-71.4450575;USGS01116500
01116905;HUNT R 250 FT DS FRY BRK AT FRENCHTOWN, RI;41.63;-71.47888889;USGS01116905
01117000;HUNT RIVER NEAR EAST GREENWICH, RI;41.6412122;-71.4445016;USGS01117000
01117350;CHIPUXET RIVER AT WEST KINGSTON, RI;41.4823233;-71.5511719;USGS01117350
01117370;QUEEN R AT LIBERTY RD AT LIBERTY RI;41.53898957;-71.568673;USGS01117370
01117420;USQUEPAUG RIVER NEAR USQUEPAUG, RI;41.4767673;-71.6047849;USGS01117420
01117430;PAWCATUCK RIVER AT KENYON, RI;41.44621186;-71.6211738;USGS01117430
01117468;BEAVER RIVER NEAR USQUEPAUG, RI;41.49260037;-71.6281194;USGS01117468
01117500;PAWCATUCK RIVER AT WOOD RIVER JUNCTION, RI;41.44510024;-71.68089828;USGS01117500
01117800;WOOD RIVER NEAR ARCADIA, RI;41.5739884;-71.72062318;USGS01117800
01118000;WOOD RIVER AT HOPE VALLEY, RI;41.49815516;-71.7164561;USGS01118000
01118300;PENDELTON HILL BROOK NEAR CLARKS FALLS, CT;41.4748222;-71.8342361;USGS01118300
01118500;PAWCATUCK RIVER AT WESTERLY, RI;41.38371065;-71.8331247;USGS01118500
01119382;WILLIMANTIC RIVER AT MERROW RD. NEAR MERROW, CT;41.8240111;-72.3128472;USGS01119382
01119500;WILLIMANTIC RIVER NEAR COVENTRY, CT;41.7506544;-72.26563469;USGS01119500
01120790;NATCHAUG RIVER AT MARCY RD. NEAR CHAPLIN, CT;41.81616944;-72.1061694;USGS01120790
01121000;MOUNT HOPE RIVER NEAR WARRENVILLE, CT;41.8437089;-72.1689662;USGS01121000
01121330;FENTON RIVER AT MANSFIELD, CT;41.83319444;-72.2427806;USGS01121330
01122000;NATCHAUG RIVER AT WILLIMANTIC, CT;41.7201;-72.195575;USGS01122000
01122500;SHETUCKET RIVER NEAR WILLIMANTIC, CT;41.70037644;-72.1820223;USGS01122500
01123000;LITTLE RIVER NEAR HANOVER, CT;41.6717651;-72.05229807;USGS01123000
011230695;SHETUCKET RIVER AT TAFTVILLE, CT;41.57000278;-72.0462444;USGS011230695
01123360;QUINEBAUG R BL E BRIMFIELD DAM AT FISKDALE, MA;42.108375;-72.1261306;USGS01123360
01123600;QUINEBAUG R BL WESTVILLE DAM NR SOUTHBRIDGE, MA;42.08261944;-72.0583806;USGS01123600
01124000;QUINEBAUG RIVER AT QUINEBAUG, CT;42.0223189;-71.9556289;USGS01124000
01124151;QUINEBAUG RIVER AT WEST THOMPSON, CT;41.94356667;-71.8995972;USGS01124151
01124350;FRENCH RIVER BELOW DAM, AT HODGES VILLAGE, MA;42.11842857;-71.8811833;USGS01124350
01124500;LITTLE RIVER NEAR OXFORD, MA;42.11592856;-71.89007238;USGS01124500
01125000;FRENCH RIVER AT WEBSTER, MA;42.0509298;-71.88507208;USGS01125000
01125100;FRENCH RIVER AT NORTH GROSVENORDALE, CT;41.97846389;-71.90051389;USGS01125100
01125490;LITTLE RIVER AT HARRISVILLE, CT;41.92784444;-71.9300083;USGS01125490
01125500;QUINEBAUG RIVER AT PUTNAM, CT;41.909475;-71.91386389;USGS01125500
01127000;QUINEBAUG RIVER AT JEWETT CITY, CT;41.59749167;-71.9840944;USGS01127000
01127500;YANTIC RIVER AT YANTIC, CT;41.5587094;-72.1214666;USGS01127500
011277905;LATIMER BROOK NR I-95N EXIT 75 NR FLANDERS, CT;41.3686111;-72.2022222;USGS011277905
01129200;CONNECTICUT R BELOW INDIAN STREAM NR PITTSBURG, NH;45.04032368;-71.4439704;USGS01129200
01129500;CONNECTICUT RIVER AT NORTH STRATFORD, NH;44.74977166;-71.63120018;USGS01129500
01130000;UPPER AMMONOOSUC RIVER NEAR GROVETON, NH;44.62505316;-71.4689721;USGS01130000
01131500;CONNECTICUT RIVER NEAR DALTON, NH;44.4100591;-71.7206438;USGS01131500
01133000;EAST BRANCH PASSUMPSIC RIVER NEAR EAST HAVEN, VT;44.63394195;-71.8975942;USGS01133000
01134500;MOOSE RIVER AT VICTORY, VT;44.5117231;-71.8373143;USGS01134500
01135150;POPE BROOK (SITE W-3) NEAR NORTH DANVILLE, VT;44.47616707;-72.1245431;USGS01135150
01135300;SLEEPERS RIVER (SITE W-5) NEAR ST. JOHNSBURY, VT;44.4353353;-72.03842899;USGS01135300
01135500;PASSUMPSIC RIVER AT PASSUMPSIC, VT;44.3656147;-72.0392613;USGS01135500
01137500;AMMONOOSUC RIVER AT BETHLEHEM JUNCTION, NH;44.2686741;-71.6303617;USGS01137500
01138500;CONNECTICUT RIVER AT WELLS RIVER, VT;44.15339689;-72.0417577;USGS01138500
01139000;WELLS RIVER AT WELLS RIVER, VT;44.1503413;-72.0650915;USGS01139000
01139800;EAST ORANGE BRANCH AT EAST ORANGE, VT;44.0928419;-72.33565327;USGS01139800
01141500;OMPOMPANOOSUC RIVER AT UNION VILLAGE, VT;43.79006996;-72.254813;USGS01141500
01142500;AYERS BROOK AT RANDOLPH, VT;43.93450969;-72.6578821;USGS01142500
01144000;WHITE RIVER AT WEST HARTFORD, VT;43.71423614;-72.418149;USGS01144000
01144500;CONNECTICUT RIVER AT WEST LEBANON, NH;43.64618187;-72.3123134;USGS01144500
01150900;OTTAUQUECHEE RIVER NEAR WEST BRIDGEWATER, VT;43.62229069;-72.7589899;USGS01150900
01151500;OTTAUQUECHEE RIVER AT NORTH HARTLAND, VT;43.60257077;-72.35425819;USGS01151500
01152500;SUGAR RIVER AT WEST CLAREMONT, NH;43.38757327;-72.36203409;USGS01152500
01153000;BLACK RIVER AT NORTH SPRINGFIELD, VT;43.33340716;-72.51481258;USGS01153000
01153550;WILLIAMS RIVER NEAR ROCKINGHAM VT;43.1917433;-72.48508889;USGS01153550
01154000;SAXTONS RIVER AT SAXTONS RIVER, VT;43.13757777;-72.4881444;USGS01154000
01154500;CONNECTICUT RIVER AT NORTH WALPOLE, NH;43.12618905;-72.4367549;USGS01154500
01154950;COLD RIVER AT HIGH STREET, AT ALSTEAD, NH;43.14944444;-72.3616667;USGS01154950
01155349;WEST RIVER BELOW WINHALL RIVER, NEAR JAMAICA, VT;43.15694444;-72.79777778;USGS01155349
01155500;WEST RIVER AT JAMAICA, VT;43.1089665;-72.775374;USGS01155500
01155910;WEST RIVER BELOW TOWNSHEND DAM NEAR TOWNSHEND, VT;43.0511901;-72.7000939;USGS01155910
01157000;ASHUELOT RIVER NEAR GILSUM, NH;43.03924586;-72.2700858;USGS01157000
01158000;ASHUELOT RIVER BELOW SURRY MT DAM, NEAR KEENE, NH;42.9948023;-72.31119719;USGS01158000
